Session_ID_128,temporal_behavior,network_selection,address_selection
53705,periodic,independent,structured
41222,periodic,inconsistent,unknown
54844,periodic,inconsistent,unknown
60807,periodic,inconsistent,unknown
33221,periodic,inconsistent,unknown
18747,intermittent,single prefix,structured
29296,periodic,dependent,unknown
48277,periodic,inconsistent,unknown
31325,intermittent,inconsistent,unknown
26394,periodic,inconsistent,unknown
33222,periodic,inconsistent,unknown
59284,periodic,inconsistent,unknown
32947,one-off,single prefix,structured
61784,one-off,single prefix,structured
61783,one-off,single prefix,structured
34265,periodic,inconsistent,unknown
29784,intermittent,single prefix,unknown
65459,intermittent,single prefix,structured
47300,periodic,inconsistent,unknown
26171,periodic,single prefix,structured
51324,periodic,inconsistent,unknown
12689,periodic,inconsistent,unknown
24288,periodic,inconsistent,unknown
911,intermittent,inconsistent,unknown
29297,periodic,dependent,unknown
8620,periodic,inconsistent,unknown
17579,periodic,inconsistent,unknown
18703,periodic,single prefix,structured
11523,periodic,independent,structured
16403,periodic,inconsistent,unknown
49564,one-off,single prefix,structured
2807,intermittent,inconsistent,unknown
71338,periodic,independent,unknown
19463,periodic,independent,unknown
68875,periodic,independent,unknown
76475,periodic,independent,unknown
75243,periodic,independent,unknown
44885,periodic,independent,unknown
82628,periodic,independent,unknown
13632,intermittent,inconsistent,unknown
74012,periodic,independent,unknown
70108,periodic,independent,unknown
72563,periodic,independent,unknown
78936,periodic,independent,unknown
80166,periodic,independent,unknown
81397,periodic,independent,unknown
64281,periodic,inconsistent,unknown
77707,periodic,independent,unknown
29298,periodic,dependent,unknown
56654,intermittent,single prefix,structured
66,periodic,independent,unknown
55795,periodic,inconsistent,unknown
30369,periodic,inconsistent,unknown
68194,intermittent,single prefix,structured
22485,periodic,inconsistent,unknown
62482,periodic,inconsistent,unknown
9467,periodic,inconsistent,unknown
63575,intermittent,single prefix,structured
29299,periodic,dependent,unknown
66074,periodic,inconsistent,unknown
6638,periodic,inconsistent,unknown
15543,periodic,inconsistent,unknown
49256,periodic,inconsistent,unknown
46165,intermittent,inconsistent,unknown
59141,intermittent,independent,structured
43903,one-off,single prefix,structured
54845,periodic,inconsistent,unknown
24091,intermittent,single prefix,structured
57036,periodic,inconsistent,unknown
20722,periodic,inconsistent,unknown
25250,periodic,inconsistent,unknown
7678,periodic,inconsistent,unknown
91217,intermittent,single prefix,structured
63829,periodic,single prefix,structured
29300,periodic,dependent,unknown
58770,one-off,single prefix,structured
85268,periodic,independent,structured
40549,periodic,single prefix,structured
32448,periodic,independent,unknown
62035,one-off,single prefix,structured
52306,periodic,inconsistent,unknown
27675,one-off,single prefix,structured
85269,periodic,independent,structured
71339,periodic,independent,unknown
19464,periodic,independent,unknown
68876,periodic,independent,unknown
76476,periodic,independent,unknown
75244,periodic,independent,unknown
29301,periodic,dependent,unknown
44886,periodic,independent,unknown
82629,periodic,independent,unknown
54659,intermittent,single prefix,structured
74013,periodic,independent,unknown
70109,periodic,independent,unknown
72564,periodic,independent,unknown
78937,periodic,independent,unknown
80167,periodic,independent,unknown
81398,periodic,independent,unknown
64282,periodic,inconsistent,unknown
77708,periodic,independent,unknown
23922,one-off,single prefix,structured
58377,intermittent,single prefix,structured
85270,periodic,independent,structured
84576,periodic,single prefix,structured
85271,periodic,independent,structured
11524,periodic,independent,structured
29302,periodic,dependent,unknown
71340,periodic,independent,unknown
19465,periodic,independent,unknown
68877,periodic,independent,unknown
76477,periodic,independent,unknown
75245,periodic,independent,unknown
44887,periodic,independent,unknown
82630,periodic,independent,unknown
74014,periodic,independent,unknown
70110,periodic,independent,unknown
72565,periodic,independent,unknown
78938,periodic,independent,unknown
80168,periodic,independent,unknown
81399,periodic,independent,unknown
64283,periodic,inconsistent,unknown
77709,periodic,independent,unknown
29037,one-off,single prefix,structured
11525,periodic,independent,structured
24188,one-off,single prefix,structured
29303,periodic,dependent,unknown
18792,intermittent,single prefix,structured
91555,intermittent,single prefix,structured
91635,one-off,single prefix,structured
29304,periodic,dependent,unknown
85272,periodic,independent,structured
